,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
31,Democratic Republic of the Congo,58,4.0,4.0,0.0,Local transmission,0.0
32,Rwanda,54,4.0,0.0,0.0,Local transmission,0.0
33,Madagascar,26,2.0,0.0,0.0,Imported cases only,0.0
34,Kenya,25,0.0,1.0,0.0,Local transmission,3.0
35,Togo,25,1.0,0.0,0.0,Imported cases only,0.0
36,Congo,19,15.0,0.0,0.0,Imported cases only,0.0
37,Ethiopia,16,4.0,0.0,0.0,Imported cases only,0.0
38,Uganda,14,0.0,0.0,0.0,Imported cases only,2.0
39,United Republic of Tanzania,13,0.0,0.0,0.0,Imported cases only,2.0
40,Zambia,13,10.0,0.0,0.0,Local transmission,0.0
41,Niger,10,0.0,1.0,0.0,Local transmission,1.0
42,Eswatini,9,3.0,0.0,0.0,Imported cases only,0.0
43,Mali,9,7.0,0.0,0.0,Local transmission,0.0
44,Guinea,8,3.0,0.0,0.0,Imported cases only,0.0
45,Namibia,8,0.0,0.0,0.0,Imported cases only,1.0
46,Gabon,7,1.0,1.0,0.0,Imported cases only,0.0
47,Mozambique,7,2.0,0.0,0.0,Local transmission,0.0
48,Seychelles,7,0.0,0.0,0.0,Imported cases only,6.0
0,Benin,6.0,0.0,0.0,0.0,Imported cases only,1.0
1,Central African,,,,,,
2,Republic,6.0,1.0,0.0,0.0,Imported cases only,0.0
3,Equatorial Guinea,6.0,0.0,0.0,0.0,Imported cases only,6.0
4,Eritrea,6.0,0.0,0.0,0.0,Imported cases only,1.0
5,Cabo Verde,5.0,2.0,1.0,1.0,Imported cases only,0.0
6,Chad,5.0,0.0,0.0,0.0,Imported cases only,1.0
7,Zimbabwe,5.0,2.0,1.0,0.0,Local transmission,0.0
8,Liberia,3.0,0.0,0.0,0.0,Local transmission,6.0
9,Mauritania,3.0,0.0,0.0,0.0,Imported cases only,1.0
10,Angola,2.0,0.0,0.0,0.0,Imported cases only,6.0
11,Gambia,2.0,0.0,1.0,1.0,Imported cases only,3.0
12,Guinea-Bissau,2.0,0.0,0.0,0.0,Imported cases only,2.0
13,Territories**,,,,,,
14,Réunion,135.0,0.0,0.0,0.0,Local transmission,1.0
15,Mayotte,50.0,0.0,0.0,0.0,Local transmission,1.0
16,Subtotal for all,,,,,,
17,,570966.0,62514.0,26487.0,3159.0,,
18,regions,,,,,,
19,International,,,,,,
20,conveyance,712.0,0.0,7.0,0.0,Local transmission,12.0
21,(Diamond Princess),,,,,,
22,Grand total,571678.0,62514.0,26494.0,3159.0,,
