"Genes"	"Topic"	"count"
"215"	"IDH3A"	"ACE2"	0
"216"	"IFT80"	"ACE2"	0
"217"	"IL13RA1"	"ACE2"	0
"218"	"IMPA1"	"ACE2"	0
"219"	"INTS12"	"ACE2"	0
"220"	"IPO7"	"ACE2"	0
"221"	"IQGAP1"	"ACE2"	0
"222"	"KANSL1L"	"ACE2"	0
"223"	"KARS"	"ACE2"	0
"224"	"KAT2B"	"ACE2"	0
"225"	"KATNBL1"	"ACE2"	0
"226"	"KDM3A"	"ACE2"	0
"227"	"KDM5B"	"ACE2"	0
"228"	"KIAA1586"	"ACE2"	0
"229"	"KIF27"	"ACE2"	0
"230"	"KIF3A"	"ACE2"	0
"231"	"KIZ"	"ACE2"	0
"232"	"KLHDC10"	"ACE2"	0
"233"	"KLHL7"	"ACE2"	0
"234"	"KLHL8"	"ACE2"	0
"235"	"KMO"	"ACE2"	0
"236"	"KNTC1"	"ACE2"	0
"237"	"KPNA3"	"ACE2"	0
"238"	"KTN1"	"ACE2"	0
"239"	"LARP4"	"ACE2"	0
"240"	"LGALS8"	"ACE2"	0
"241"	"LIG4"	"ACE2"	0
"242"	"LIN7C"	"ACE2"	0
"243"	"LMBRD2"	"ACE2"	0
"244"	"LRPPRC"	"ACE2"	0
"245"	"LRRC40"	"ACE2"	0
"246"	"LUC7L3"	"ACE2"	0
"247"	"LYSMD3"	"ACE2"	0
"248"	"MALT1"	"ACE2"	0
"249"	"MAN2A1"	"ACE2"	0
"250"	"MAP3K4"	"ACE2"	0
"251"	"MAP4K5"	"ACE2"	0
"252"	"MAP9"	"ACE2"	0
"253"	"MAPK9"	"ACE2"	0
"254"	"MBD4"	"ACE2"	0
"255"	"MBNL1"	"ACE2"	0
"256"	"MBNL2"	"ACE2"	0
"257"	"MBNL3"	"ACE2"	0
"258"	"MECOM"	"ACE2"	0
"259"	"MED13"	"ACE2"	1
"260"	"MED21"	"ACE2"	0
"261"	"MED23"	"ACE2"	0
"262"	"METTL4"	"ACE2"	0
"263"	"MFN1"	"ACE2"	0
"264"	"MFSD2A"	"ACE2"	0
"265"	"MIB1"	"ACE2"	0
