,0,1,2,3,4,5,6
6,Equatorial Guinea,1.0,0.0,0.0,0.0,Imported cases only,1.0
7,Eswatini,1.0,0.0,0.0,0.0,Imported cases only,1.0
8,Ethiopia,1.0,0.0,0.0,0.0,Imported cases only,2.0
9,Gabon,1.0,0.0,0.0,0.0,Imported cases only,2.0
10,Guinea,1.0,0.0,0.0,0.0,Imported cases only,2.0
11,Kenya,1.0,0.0,0.0,0.0,Imported cases only,2.0
12,Mauritania,1.0,0.0,0.0,0.0,Imported cases only,1.0
13,Togo,1.0,0.0,0.0,0.0,Imported cases only,9.0
14,Territories**,,,,,,
15,Réunion,9.0,3.0,0.0,0.0,Imported cases only,0.0
16,Mayotte,1.0,0.0,0.0,0.0,Imported cases only,1.0
17,Subtotal for all,,,,,,
18,,166799.0,13888.0,6599.0,862.0,,
19,regions,,,,,,
20,International,,,,,,
21,conveyance,712.0,15.0,7.0,0.0,Local transmission,0.0
22,(Diamond Princess),,,,,,
23,Grand total,167511.0,13903.0,6606.0,862.0,,
