,outbreak_qid,outbreak,country_qid,country
211,Q86694210,2020 coronavirus outbreak in Oceania,Q408,Australia
212,Q86694210,2020 coronavirus outbreak in Oceania,Q664,New Zealand
213,Q86694744,2020 coronavirus outbreak in South America,Q77,Uruguay
214,Q86694744,2020 coronavirus outbreak in South America,Q155,Brazil
215,Q86694744,2020 coronavirus outbreak in South America,Q298,Chile
216,Q86694744,2020 coronavirus outbreak in South America,Q414,Argentina
217,Q86694744,2020 coronavirus outbreak in South America,Q419,Peru
218,Q86694744,2020 coronavirus outbreak in South America,Q717,Venezuela
219,Q86694744,2020 coronavirus outbreak in South America,Q730,Suriname
220,Q86694744,2020 coronavirus outbreak in South America,Q733,Paraguay
221,Q86694744,2020 coronavirus outbreak in South America,Q734,Guyana
222,Q86694744,2020 coronavirus outbreak in South America,Q736,Ecuador
223,Q86694744,2020 coronavirus outbreak in South America,Q739,Colombia
224,Q86694744,2020 coronavirus outbreak in South America,Q750,Bolivia
225,Q86694744,2020 coronavirus outbreak in South America,Q804,Panama
226,Q86694873,2020 coronavirus outbreak in Africa,Q79,Egypt
227,Q86694873,2020 coronavirus outbreak in Africa,Q114,Kenya
228,Q86694873,2020 coronavirus outbreak in Africa,Q115,Ethiopia
229,Q86694873,2020 coronavirus outbreak in Africa,Q117,Ghana
230,Q86694873,2020 coronavirus outbreak in Africa,Q258,South Africa
231,Q86694873,2020 coronavirus outbreak in Africa,Q262,Algeria
232,Q86694873,2020 coronavirus outbreak in Africa,Q945,Togo
233,Q86694873,2020 coronavirus outbreak in Africa,Q948,Tunisia
234,Q86694873,2020 coronavirus outbreak in Africa,Q965,Burkina Faso
235,Q86694873,2020 coronavirus outbreak in Africa,Q974,Democratic Republic of the Congo
236,Q86694873,2020 coronavirus outbreak in Africa,Q1000,Gabon
237,Q86694873,2020 coronavirus outbreak in Africa,Q1006,Guinea
238,Q86694873,2020 coronavirus outbreak in Africa,Q1008,Ivory Coast
239,Q86694873,2020 coronavirus outbreak in Africa,Q1009,Cameroon
240,Q86694873,2020 coronavirus outbreak in Africa,Q1025,Mauritania
241,Q86694873,2020 coronavirus outbreak in Africa,Q1028,Morocco
242,Q86694873,2020 coronavirus outbreak in Africa,Q1033,Nigeria
243,Q86694873,2020 coronavirus outbreak in Africa,Q1037,Rwanda
244,Q86694873,2020 coronavirus outbreak in Africa,Q1049,Sudan
245,Q86694873,2020 coronavirus outbreak in Africa,Q1050,Eswatini
246,Q86695115,2020 coronavirus outbreak in North America,Q16,Canada
247,Q86695115,2020 coronavirus outbreak in North America,Q30,United States of America
248,Q86695115,2020 coronavirus outbreak in North America,Q96,Mexico
249,Q86695115,2020 coronavirus outbreak in North America,Q241,Cuba
250,Q86695115,2020 coronavirus outbreak in North America,Q754,Trinidad and Tobago
251,Q86695115,2020 coronavirus outbreak in North America,Q757,Saint Vincent and the Grenadines
252,Q86695115,2020 coronavirus outbreak in North America,Q760,Saint Lucia
253,Q86695115,2020 coronavirus outbreak in North America,Q766,Jamaica
254,Q86695115,2020 coronavirus outbreak in North America,Q774,Guatemala
255,Q86695115,2020 coronavirus outbreak in North America,Q781,Antigua and Barbuda
256,Q86695115,2020 coronavirus outbreak in North America,Q783,Honduras
257,Q86695115,2020 coronavirus outbreak in North America,Q786,Dominican Republic
258,Q86695115,2020 coronavirus outbreak in North America,Q800,Costa Rica
259,Q86695115,2020 coronavirus outbreak in North America,Q21203,Aruba
260,Q86695115,2020 coronavirus outbreak in North America,Q25279,Curaçao
261,Q86717788,2020 coronavirus outbreak in Switzerland,Q39,Switzerland
262,Q86731043,2020 coronavirus outbreak in Hebei,Q148,People's Republic of China
263,Q86733728,2020 coronavirus outbreak in Iraq,Q796,Iraq
