,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
14,,1.0,0.0,0.0,0.0,Imported cases only,3.0
15,Republic,,,,,,
16,Congo,1.0,0.0,0.0,0.0,Imported cases only,2.0
17,Equatorial Guinea,1.0,0.0,0.0,0.0,Imported cases only,3.0
18,Eswatini,1.0,0.0,0.0,0.0,Imported cases only,3.0
19,Gabon,1.0,0.0,0.0,0.0,Imported cases only,3.0
20,Guinea,1.0,0.0,0.0,0.0,Imported cases only,3.0
21,Liberia,1.0,1.0,0.0,0.0,Imported cases only,0.0
22,Mauritania,1.0,0.0,0.0,0.0,Imported cases only,3.0
23,Togo,1.0,0.0,0.0,0.0,Imported cases only,10.0
24,United Republic of,,,,,,
25,,1.0,1.0,0.0,0.0,Imported cases only,0.0
26,Tanzania,,,,,,
27,Territories**,,,,,,
28,Réunion,9.0,0.0,0.0,0.0,Imported cases only,2.0
29,Mayotte,1.0,0.0,0.0,0.0,Imported cases only,3.0
30,Subtotal for all,,,,,,
31,,190415.0,15123.0,7800.0,786.0,,
32,regions,,,,,,
33,International,,,,,,
34,conveyance,712.0,0.0,7.0,0.0,Local transmission,2.0
35,(Diamond Princess),,,,,,
36,Grand total,191127.0,15123.0,7807.0,786.0,,
